Strata,Waypoint,Segment,Latitude,Longitude,Old VCF,New VCF (2019),Comment
East Valley,82,11,37.151167,-120.074833,No,No,to E of Chowchilla
East Valley,83,11,36.947167,-119.872167,No,No,to Fresno
Santa Rosa/Napa,101,1,38.232500,-122.596500,No,No,Petaluma
Santa Rosa/Napa,102,1,38.119167,-122.511000,No,No,to Black Point
Santa Rosa/Napa,103,1,38.117000,-122.447833,No,No,Midshipman Pt.
Santa Rosa/Napa,104,1,38.242167,-122.402000,No,No,to E of Schellville
Santa Rosa/Napa,105,2,38.242167,-122.294500,No,No,SE of Shipyard Acres
Santa Rosa/Napa,106,2,38.159667,-122.421333,No,No,to Sonoma Creek
Santa Rosa/Napa,107,2,38.127833,-122.343667,No,No,Shoreline
Santa Rosa/Napa,108,2,38.250000,-122.279000,No,No,to S of Shipyard Ac
Santa Rosa/Napa,109,3,38.372167,-122.319500,No,No,N of Salvador
Santa Rosa/Napa,110,3,38.479167,-122.414500,No,No,to SE of Zinfandel
Santa Rosa/Napa,111,3,38.481833,-122.841667,No,No,S of Trenton
Santa Rosa/Napa,112,3,38.358333,-122.758333,No,No,to W of Wilfred
Suisan Marsh,113,1,38.063833,-121.870167,Yes,Yes,Sacramento River
Suisan Marsh,114,1,38.152833,-122.001333,Yes,Yes,to N of Grizzly Bay
Suisan Marsh,115,1,38.129167,-122.104167,Yes,Yes,to Pierce
Suisan Marsh,116,2,38.190333,-122.136833,Yes,Yes,Rd. 21 S of Cordelia
Suisan Marsh,117,2,38.182167,-122.086167,Yes,Yes,to NW of Teal
Suisan Marsh,118,2,38.163833,-121.927000,No,No,to Kirby Hill
Suisan Marsh,119,2,38.225000,-121.894167,No,No,Denverton
Suisan Marsh,120,2,38.166667,-121.947833,No,No,to Grizzly Island
Suisan Marsh,121,2,38.168000,-121.952000,No,No,Grizzly Island
Suisan Marsh,122,3,38.116000,-121.908000,No,No,SW of Birds Landing
Suisan Marsh,123,3,38.068000,-121.865333,No,No,to Sacramento River
Northeastern California,199,1,39.697833,-120.325667,No,Yes,Sierra Valley (S)
Northeastern California,200,1,39.814000,-120.287500,No,Yes,(N)
Northeastern California,203,1,40.000000,-120.061667,No,Yes,Doyle
Northeastern California,204,2,40.102667,-120.175833,Yes,No,
Northeastern California,205,2,40.224167,-120.312500,Yes,No,to Honey Lake
Northeastern California,206,2,40.292500,-120.206333,Yes,No,Honey Lake
Northeastern California,207,3,40.325333,-120.329167,Yes,Yes,to N of Honey Lake
Northeastern California,208,3,40.395833,-120.572500,Yes,Yes,to Susanville
Northeastern California,209,3,40.289833,-120.913333,Yes,Yes,Westwood (E)
Northeastern California,210,3,40.284667,-120.994167,Yes,Yes,(W)
Northeastern California,211,4,40.280500,-121.211167,No,No,Chester  (S)
Northeastern California,212,4,40.340833,-121.212000,No,No,(N)
Northeastern California,213,4,40.862500,-121.130833,No,No,Dixie Valley (W)
Northeastern California,214,4,40.886667,-121.016667,No,No,(E)
Northeastern California,215,4,41.000000,-121.312667,No,No,Beaver Creek Rim
Northeastern California,216,5,41.098333,-121.380333,No,No,SE of Big Lake
Northeastern California,217,5,41.126333,-121.400333,No,No,to Big Lake
Northeastern California,218,5,41.112500,-121.451000,No,No,Big Lake (N)
Northeastern California,219,5,41.059667,-121.383000,No,No,McArthur  (S)
Northeastern California,220,5,41.102000,-121.514333,No,No,SE of Dana
Northeastern California,221,5,41.008333,-121.447833,No,No,Fall River Mills (S)
Northeastern California,222,5,41.032000,-121.133833,No,No,Big Valley   (S)
Northeastern California,223,6,41.081167,-121.140333,No,Yes,Bieber
Northeastern California,224,6,41.206333,-121.160833,No,Yes,W of Lookout (N)
Northeastern California,225,6,41.165000,-121.150333,No,Yes,N of Southard (W)
Northeastern California,226,6,41.193833,-120.975500,No,Yes,to Adin       (E)
Northeastern California,227,7,41.436667,-120.899167,No,No,W of Canby
Northeastern California,228,7,41.436667,-120.718000,No,No,to Rattle Snake Butte
Northeastern California,229,7,41.235333,-120.552167,No,No,Likely       (S)
Northeastern California,230,8,41.360500,-120.544167,No,Yes,to Eastside canal
Northeastern California,231,8,41.465333,-120.536833,No,Yes,S of Alturas (N)
Northeastern California,232,8,41.492167,-120.461667,No,Yes,Dorris Res (N)
Northeastern California,233,8,41.336833,-120.481333,No,Yes,(S)
Northeastern California,234,9,41.158333,-120.035167,No,No,S of Lower Lake (S)
Northeastern California,235,10,41.412500,-120.108333,No,No,to S of Cottonwood ck
Northeastern California,236,10,41.666667,-120.184333,No,No,to Upper Lake   (N)
Northeastern California,237,11,41.644667,-120.207833,No,No,Lake City         (S)
Northeastern California,238,11,41.848833,-120.158000,No,No,S of Fort Bidwell (N)
Northeastern California,239,11,41.995833,-120.329167,No,No,Goose Lake (N)
Northeastern California,240,12,41.943333,-120.340500,No,No,Goose Lake
Northeastern California,241,12,41.686333,-120.395500,No,No,Southern Pacific tracks
Northeastern California,242,12,41.655167,-120.402167,No,No,(S)
Northeastern California,243,13,41.546333,-120.493667,No,No,Mud Lake (S)
Northeastern California,244,14,41.755000,-120.620500,No,No,
Northeastern California,245,14,41.819167,-120.656500,No,No,to N of South Mtn.Res.(N)
Northeastern California,246,14,41.923333,-120.779667,No,No,Baseball Res.  (N)
Northeastern California,247,15,41.748000,-120.675667,No,No,to S of Telephone Flat Res.
Northeastern California,248,15,41.583000,-120.568833,No,No,to S ofRattle Snake Creek
Northeastern California,249,15,41.750000,-120.902000,No,No,Boles Creek (N)
Northeastern California,250,16,41.673833,-120.879167,No,No,to N of Reservoir M
Northeastern California,251,16,41.533333,-120.837500,No,No,to W Fork of Witcher Creek
Northeastern California,252,16,41.500000,-121.106333,No,No,Beller Reservoir (S)
Northeastern California,253,16,41.528500,-121.136167,No,No,to Spaulding Reservoir(N)
Northeastern California,254,21,41.978000,-121.362000,Yes,No,Tule Lake (NE)
Northeastern California,255,21,41.834333,-121.545333,Yes,No,Tule Lake (SW)
Northeastern California,256,21,41.996833,-121.635333,Yes,No,White Lake (N)
Northeastern California,257,21,41.894500,-121.616667,Yes,No,(S)
Northeastern California,258,16,41.979667,-121.840333,No,No,S of Indian Lake (N)
Northeastern California,259,17,41.907833,-121.784167,Yes,No,to Willow Creek
Northeastern California,260,17,41.827833,-121.737333,Yes,No,(S)
Northeastern California,261,17,41.851333,-121.905500,Yes,No,N of Sheep Mountain
Northeastern California,262,17,41.981333,-121.947167,Yes,No,to NW of Dorris
Northeastern California,263,17,41.922833,-122.026500,Yes,No,W of McGavin Peak
Northeastern California,264,18,41.887000,-122.037833,Yes,No,to N of Meis Lake
Northeastern California,265,18,41.764500,-122.076333,No,No,to SE of Ball Mountain
Northeastern California,266,18,41.678500,-122.369500,No,No,SE of Little Shasta (S)
Northeastern California,267,18,41.771000,-122.501500,No,No,to N of Montague
Northeastern California,268,19,41.779833,-122.514667,No,No,N of Montague
Northeastern California,269,19,41.520333,-122.492333,No,No,to Gazelle
Northeastern California,270,20,41.597667,-122.853000,No,No,Fort Jones (N)
Northeastern California,271,20,41.456333,-122.865333,No,No,to E of Etna
Northeastern California,272,20,41.341500,-122.819000,No,No,to N of Gallahan (S)
