LAST EDITED DATE	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	OBSERVER ORCID ID	SAMPLING EVENT IDENTIFIER	OBSERVATION TYPE	PROTOCOL NAME	PROTOCOL CODE	PROJECT NAMES	PROJECT IDENTIFIERS	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	CHECKLIST COMMENTS	
2024-01-27 19:43:42.378943	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			Lower Klamath Lk Rd Klamath HIlls	L4453743	P	42.0833977	-121.7808066	2024-01-27	14:56:00	obsr764799		S159972097	Stationary	Stationary	P21			12			11	1			
2024-03-14 12:41:47.774115	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			Lower Klamath Lk Rd Klamath HIlls	L4453743	P	42.0833977	-121.7808066	2024-03-09	12:29:00	obsr764799		S164566554	Stationary	Stationary	P21			24			16	1	G11900736		
2024-03-14 12:41:47.774115	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			Lower Klamath Lk Rd Klamath HIlls	L4453743	P	42.0833977	-121.7808066	2024-03-09	12:29:00	obsr1780637		S164807041	Stationary	Stationary	P21			24			16	1	G11900736		
2024-03-14 13:17:04.886961	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			Lower Klamath Lk Rd Klamath HIlls	L4453743	P	42.0833977	-121.7808066	2024-03-09	12:29:00	obsr1032428		S164811405	Stationary	Stationary	P21			24			16	1	G11900736		
2024-03-14 12:56:42.936163	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			Lower Klamath Lk Rd Klamath HIlls	L4453743	P	42.0833977	-121.7808066	2024-03-09	12:29:00	obsr1391860		S164808920	Stationary	Stationary	P21			24			16	1	G11900736		
2024-03-14 15:09:57.153023	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			Lower Klamath Lk Rd Klamath HIlls	L4453743	P	42.0833977	-121.7808066	2024-03-09	12:29:00	obsr130312		S164823560	Stationary	Stationary	P21			24			16	1	G11900736		
2024-12-15 15:52:08.977006	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			Lower Klamath Lk Rd Klamath HIlls	L4453743	P	42.0833977	-121.7808066	2024-11-23	13:10:00	obsr127703		S203451289	Stationary	Stationary	P21			35			6	1			
2024-04-08 17:02:13.67593	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			Lower Klamath Lk Rd Klamath HIlls	L4453743	P	42.0833977	-121.7808066	2024-04-07	13:40:00	obsr127703		S167779332	Stationary	Stationary	P21			25			1	1		Walked a couple of hundred yards upslope	
2024-08-23 13:07:00.484154	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			Township Road pastures	L4563702	P	42.0389030	-121.8319845	2024-08-19	12:30:00	obsr127703		S192251650	Traveling	Traveling	P22			20	1.127		1	1		Scanning for shorebirds in the furthest west south side of road pasture that was receiving water. Not much diversity yet.	
2024-08-23 13:07:00.484154	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			Township Road pastures	L4563702	P	42.0389030	-121.8319845	2024-08-20	15:45:00	obsr127703		S192252128	Stationary	Stationary	P21			45			1	0		Returned to check for shorebirds; field completely flooded;	
2025-04-26 18:04:58.345229	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			1001 Loma Linda	L4603977	P	42.2343185	-121.7672730	2024-03-08	08:07:00	obsr229923		S164103575	Incidental	Incidental	P20						1	0			
2025-04-26 18:04:58.345229	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			1001 Loma Linda	L4603977	P	42.2343185	-121.7672730	2024-04-02	16:50:00	obsr229923		S167002220	Traveling	Traveling	P22			95	1.304		1	1			
2025-04-26 18:04:58.345229	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			1001 Loma Linda	L4603977	P	42.2343185	-121.7672730	2024-03-03	07:56:00	obsr229923		S163567554	Incidental	Incidental	P20						1	0			
2025-04-26 18:04:58.345229	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			1001 Loma Linda	L4603977	P	42.2343185	-121.7672730	2024-02-10	14:35:00	obsr229923		S161176075	Traveling	Traveling	P22			75	4.828		1	1			
2025-04-26 18:04:58.345229	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			1001 Loma Linda	L4603977	P	42.2343185	-121.7672730	2024-02-16	16:14:00	obsr229923		S161745134	Traveling	Traveling	P22			105	4.522		1	1			
2025-04-26 18:04:58.345229	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			1001 Loma Linda	L4603977	P	42.2343185	-121.7672730	2024-04-04	16:47:00	obsr229923		S167195813	Traveling	Traveling	P22			21	1.819		1	1			
2025-04-26 18:04:58.345229	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			1001 Loma Linda	L4603977	P	42.2343185	-121.7672730	2024-03-06	08:04:00	obsr229923		S163889404	Traveling	Traveling	P22			3	0.161		1	1			
2025-04-26 18:05:31.321372	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			1001 Loma Linda	L4603977	P	42.2343185	-121.7672730	2024-10-02	17:15:00	obsr229923		S197300319	Traveling	Traveling	P22			5	0.499		1	1			
2025-04-26 18:05:31.321372	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			1001 Loma Linda	L4603977	P	42.2343185	-121.7672730	2024-05-09	18:35:00	obsr229923		S173139093	Stationary	Stationary	P21			35			1	1			
2025-04-26 18:05:31.321372	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			1001 Loma Linda	L4603977	P	42.2343185	-121.7672730	2024-04-26	19:24:00	obsr229923		S170451876	Stationary	Stationary	P21			7			1	1			
2025-04-26 18:04:58.345229	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			1001 Loma Linda	L4603977	P	42.2343185	-121.7672730	2024-04-08	18:45:00	obsr229923		S167816313	Traveling	Traveling	P22			6	0.483		1	1			
2025-04-26 18:04:58.345229	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			1001 Loma Linda	L4603977	P	42.2343185	-121.7672730	2024-02-13	16:42:00	obsr229923		S161448412	Traveling	Traveling	P22			25	2.993		1	1			
2024-06-03 09:06:37.262914	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			Oregon Pines Rd	L4714064	P	42.4950690	-121.2971340	2024-06-01	09:40:00	obsr31833		S178774261	Traveling	Traveling	P22			189	10.652		1	1			
2024-03-16 19:12:57.869751	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			US-Oregon-Klamath Falls - 42.244x-121.768 - May 25, 2016 8:06 AM	L4638838	P	42.2436650	-121.7680829	2024-03-16	15:05:00	obsr229923		S165084019	Traveling	Traveling	P22			60	1.271		1	1			
2024-03-15 20:13:31.332612	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			US-Oregon-Klamath Falls - 42.244x-121.768 - May 25, 2016 8:06 AM	L4638838	P	42.2436650	-121.7680829	2024-03-15	16:35:00	obsr229923		S164960571	Traveling	Traveling	P22			37	1.786		1	1			
2024-08-02 15:19:58.701194	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			US-Oregon-Klamath Falls - 42.244x-121.768 - May 25, 2016 8:06 AM	L4638838	P	42.2436650	-121.7680829	2024-08-02	06:49:00	obsr229923		S189942179	Traveling	Traveling	P22			60	5.150		1	1			
2024-05-09 20:34:41.217689	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			US-Oregon-Klamath Falls - 42.244x-121.768 - May 25, 2016 8:06 AM	L4638838	P	42.2436650	-121.7680829	2024-05-09	16:34:00	obsr229923		S173118087	Traveling	Traveling	P22			59	3.331		1	1			
2024-04-25 20:33:32.659216	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			US-Oregon-Klamath Falls - 42.244x-121.768 - May 25, 2016 8:06 AM	L4638838	P	42.2436650	-121.7680829	2024-04-25	15:23:00	obsr229923		S170294591	Traveling	Traveling	P22			62	3.331		1	1			
2024-04-07 18:59:47.571038	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			US-Oregon-Klamath Falls - 42.244x-121.768 - May 25, 2016 8:06 AM	L4638838	P	42.2436650	-121.7680829	2024-04-07	15:21:00	obsr229923		S167631841	Traveling	Traveling	P22			38	2.897		1	1			
2024-10-25 19:39:51.154662	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			US-Oregon-Klamath Falls - 42.244x-121.768 - May 25, 2016 8:06 AM	L4638838	P	42.2436650	-121.7680829	2024-10-25	15:18:00	obsr229923		S200248103	Traveling	Traveling	P22			80	3.541		1	1			
2024-05-26 13:08:56.603165	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			US-Oregon-Klamath Falls - 42.244x-121.768 - May 25, 2016 8:06 AM	L4638838	P	42.2436650	-121.7680829	2024-05-26	07:10:00	obsr229923		S177333663	Traveling	Traveling	P22			60	3.766		1	1			
2024-05-15 11:17:46.382721	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			US-Oregon-Klamath Falls - 42.244x-121.768 - May 25, 2016 8:06 AM	L4638838	P	42.2436650	-121.7680829	2024-05-15	06:32:00	obsr229923		S174661998	Traveling	Traveling	P22			26	2.655		1	1			
2024-04-10 20:16:38.010048	United States	US	Oregon	US-OR	Klamath	US-OR-035		9			US-Oregon-Klamath Falls - 42.244x-121.768 - May 25, 2016 8:06 AM	L4638838	P	42.2436650	-121.7680829	2024-04-10	16:50:00	obsr229923		S168074233	Traveling	Traveling	P22			26	1.609		1	1			
2024-07-22 18:09:32.632127	United States	US	Oregon	US-OR	Klamath	US-OR-035		5			Crater Lake NP--Sun Notch Trail	L4799365	H	42.9041994	-122.0960426	2024-07-17	13:27:00	obsr1117682		S187455113	Traveling	Traveling	P22			31	1.207		3	0	G12757650	Phantom Ship	
2024-09-14 16:36:49.412814	United States	US	Oregon	US-OR	Klamath	US-OR-035		5			Crater Lake NP--Sun Notch Trail	L4799365	H	42.9041994	-122.0960426	2024-09-14	13:30:00	obsr313484		S195120102	Stationary	Stationary	P21			5			1	1			
2024-07-21 19:41:23.41059	United States	US	Oregon	US-OR	Klamath	US-OR-035		5			Crater Lake NP--Sun Notch Trail	L4799365	H	42.9041994	-122.0960426	2024-07-21	08:47:00	obsr238187		S188164560	Traveling	Traveling	P22			27	1.195		1	1		75 degrees. Sunny. Slight breeze.	
